Timestamp,Age,Gender,Work status,Education,AI relation,Score,Score norm,Mean confidence,Score AI,Score AI norm,Mean confidence AI,Q1,C1,Q2,C2,Q3,C3,Q4,C4,Q5,C5,Q6,C6,Q7,C7,Q8,C8,Q9,C9,Q10,C10,Q11,C11,Q12,C12,Q13,C13,Q14,C14,Q15,C15,Q16,C16,Q17,C17,Q18,C18,Q19,C19,Q20,C20,Q21,C21,Q22,C22,Q23,C23,Q24,C24,Q25,C25,Q26,C26,Q27,C27,Q28,C28,Q29,C29,Q30,C30,Q31,C31,Q32,C32,Q33,C33,Q34,C34,Q35,C35,Q36,C36,Q37,C37,Q38,C38,Q39,C39,Q40,C40,Q41,C41,Q42,C42,Q43,C43,Q44,C44,Q45,C45,Q46,C46,Q47,C47,Q48,C48,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K31,K32,K33,K34,K35,K36,K37,K38,K39,K40,K41,K42,K43,K44,K45,K46,K47,K48
27/02/2020 23:31:12,25-34 years old,Female,Employed,Bachelor’s degree,5,,,,,,,AI,Unsure,AI,Somewhat confident,AI,Very confident,AI,Somewhat confident,AI,Very confident,AI,Very confident,AI,Somewhat confident,AI,Very confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Very confident,Human,Unsure,AI,Somewhat confident,Human,Unsure,Human,Somewhat confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Somewhat confident,Human,Very confident,Human,Unsure,Human,Very confident,AI,Very confident,Human,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Unsure,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Unsure,AI,Very confident,Human,Somewhat confident,Human,Very confident,Human,Unsure,AI,Somewhat confident,AI,Unsure,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,Human,Somewhat confident,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
27/02/2020 23:37:53,35-44 years old,Female,Employed,Master’s degree,3,,,,,,,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,AI,Unsure,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Unsure,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Very confident,AI,Somewhat confident,AI,Somewhat confident,Human,Very confident,Human,Somewhat confident,AI,Unsure,Human,Somewhat confident,Human,Somewhat confident,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
27/02/2020 23:38:34,35-44 years old,Male,Employed,Doctorate degree,4,,,,,,,AI,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,Human,Unsure,Human,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,Human,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,Human,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
27/02/2020 23:39:09,25-34 years old,Female,Employed,Doctorate degree,4,,,,,,,AI,Very confident,AI,Very confident,Human,Somewhat confident,AI,Very confident,AI,Unsure,Human,Very confident,Human,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,Human,Somewhat confident,Human,Very confident,AI,Very confident,Human,Very confident,Human,Very confident,Human,Very confident,AI,Very confident,AI,Somewhat confident,AI,Very confident,Human,Very confident,Human,Very confident,AI,Very confident,AI,Very confident,Human,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,Human,Very confident,AI,Somewhat confident,Human,Somewhat confident,AI,Very confident,AI,Very confident,Human,Very confident,AI,Very confident,Human,Very confident,Human,Very confident,Human,Somewhat confident,AI,Very confident,Human,Very confident,Human,Very confident,AI,Very confident,Human,Very confident,Human,Very confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
27/02/2020 23:45:30,25-34 years old,Male,Employed,Master’s degree,5,,,,,,,Human,Very confident,AI,Very confident,Human,Very confident,Human,Very confident,AI,Very confident,AI,Very confident,Human,Very confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Very confident,Human,Unsure,AI,Very confident,Human,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,Human,Somewhat confident,Human,Very confident,AI,Very confident,AI,Very confident,Human,Unsure,AI,Unsure,AI,Very confident,Human,Unsure,AI,Very confident,AI,Unsure,AI,Unsure,AI,Very confident,Human,Unsure,AI,Very confident,Human,Very confident,AI,Very confident,Human,Very confident,Human,Very confident,Human,Very confident,AI,Very confident,Human,Somewhat confident,AI,Very confident,AI,Very confident,Human,Very confident,Human,Very confident,AI,Very confident,Human,Very confident,Human,Unsure,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
28/02/2020 00:09:26,18-24 years old,Female,Studying,Bachelor’s degree,3,,,,,,,Human,Somewhat confident,AI,Very confident,AI,Very confident,Human,Somewhat confident,AI,Unsure,Human,Very confident,Human,Unsure,AI,Unsure,AI,Very confident,AI,Very confident,AI,Somewhat confident,AI,Very confident,Human,Very confident,AI,Very confident,Human,Very confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Very confident,Human,Very confident,AI,Unsure,AI,Very confident,Human,Somewhat confident,Human,Very confident,AI,Somewhat confident,Human,Somewhat confident,Human,Very confident,AI,Somewhat confident,Human,Very confident,Human,Very confident,AI,Somewhat confident,AI,Somewhat confident,AI,Very confident,Human,Very confident,AI,Somewhat confident,Human,Very confident,Human,Very confident,Human,Very confident,AI,Very confident,Human,Very confident,Human,Very confident,AI,Very confident,AI,Very confident,Human,Very confident,AI,Very confident,AI,Unsure,AI,Unsure,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
28/02/2020 00:20:54,18-24 years old,Female,Studying,Bachelor’s degree,3,,,,,,,AI,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,Human,Unsure,AI,Somewhat confident,AI,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,Human,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,Human,Unsure,Human,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
28/02/2020 00:21:19,25-34 years old,Male,Self-employed/Freelance,Master’s degree,5,,,,,,,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,Human,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,Human,Somewhat confident,Human,Somewhat confident,AI,Very confident,AI,Very confident,Human,Very confident,Human,Somewhat confident,AI,Very confident,Human,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,Human,Very confident,AI,Very confident,Human,Very confident,Human,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,AI,Very confident,Human,Very confident,AI,Very confident,AI,Very confident,Human,Very confident,AI,Very confident,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
28/02/2020 00:21:45,18-24 years old,Male,Studying,High school,2,,,,,,,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Unsure,AI,Unsure,Human,Somewhat confident,Human,Very confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Very confident,Human,Very confident,Human,Somewhat confident,Human,Unsure,AI,Unsure,AI,Somewhat confident,AI,Somewhat confident,Human,Unsure,AI,Somewhat confident,AI,Very confident,Human,Somewhat confident,Human,Very confident,Human,Somewhat confident,Human,Unsure,AI,Very confident,AI,Very confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Very confident,Human,Somewhat confident,AI,Somewhat confident,Human,Very confident,Human,Very confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Very confident,Human,Very confident,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
28/02/2020 00:45:30,25-34 years old,Male,Employed,Bachelor’s degree,4,,,,,,,Human,Unsure,Human,Unsure,AI,Somewhat confident,Human,Somewhat confident,AI,Unsure,Human,Unsure,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Very confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Very confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,AI,Very confident,Human,Somewhat confident,Human,Somewhat confident,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
28/02/2020 00:52:56,18-24 years old,Female,Employed,Bachelor’s degree,5,,,,,,,AI,Very confident,AI,Unsure,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Very confident,Human,Somewhat confident,AI,Very confident,AI,Somewhat confident,AI,Somewhat confident,Human,Very confident,Human,Somewhat confident,AI,Very confident,AI,Very confident,AI,Very confident,Human,Somewhat confident,AI,Very confident,AI,Very confident,Human,Somewhat confident,Human,Unsure,Human,Somewhat confident,AI,Somewhat confident,AI,Very confident,Human,Very confident,AI,Somewhat confident,AI,Very confident,AI,Very confident,AI,Very confident,Human,Very confident,AI,Very confident,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Very confident,AI,Very confident,Human,Very confident,Human,Very confident,Human,Very confident,AI,Very confident,Human,Very confident,AI,Very confident,AI,Very confident,Human,Very confident,Human,Very confident,AI,Very confident,Human,Very confident,AI,Somewhat confident,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
28/02/2020 00:55:24,25-34 years old,Male,Employed,Master’s degree,4,,,,,,,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Very confident,AI,Somewhat confident,AI,Very confident,AI,Somewhat confident,AI,Somewhat confident,AI,Very confident,AI,Somewhat confident,AI,Somewhat confident,Human,Unsure,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Very confident,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Very confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Very confident,AI,Somewhat confident,AI,Somewhat confident,Human,Very confident,Human,Very confident,AI,Somewhat confident,Human,Unsure,Human,Very confident,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
28/02/2020 01:31:22,18-24 years old,Female,Interning,High school,3,,,,,,,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
28/02/2020 05:48:12,25-34 years old,Male,Self-employed/Freelance,Bachelor’s degree,4,,,,,,,AI,Somewhat confident,AI,Very confident,Human,Unsure,Human,Somewhat confident,Human,Unsure,AI,Unsure,Human,Very confident,AI,Somewhat confident,AI,Very confident,Human,Somewhat confident,AI,Somewhat confident,AI,Very confident,Human,Unsure,AI,Very confident,Human,Somewhat confident,AI,Unsure,AI,Somewhat confident,AI,Very confident,AI,Unsure,AI,Somewhat confident,AI,Unsure,Human,Very confident,AI,Somewhat confident,AI,Somewhat confident,Human,Unsure,Human,Unsure,Human,Unsure,AI,Unsure,Human,Unsure,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Unsure,Human,Somewhat confident,AI,Very confident,AI,Somewhat confident,Human,Very confident,AI,Somewhat confident,Human,Somewhat confident,AI,Very confident,AI,Unsure,AI,Somewhat confident,AI,Very confident,Human,Somewhat confident,Human,Unsure,Human,Unsure,AI,Very confident,Human,Somewhat confident,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
28/02/2020 10:23:25,18-24 years old,Male,Employed,Bachelor’s degree,5,,,,,,,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Very confident,AI,Somewhat confident,AI,Somewhat confident,Human,Very confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,AI,Very confident,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Very confident,AI,Very confident,AI,Very confident,Human,Somewhat confident,AI,Very confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Very confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Very confident,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Very confident,Human,Very confident,Human,Very confident,Human,Very confident,AI,Very confident,AI,Somewhat confident,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
28/02/2020 11:47:23,35-44 years old,Female,Studying,College degree,4,,,,,,,Human,Unsure,AI,Unsure,AI,Unsure,Human,Very confident,AI,Unsure,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,Human,Very confident,AI,Unsure,Human,Very confident,AI,Unsure,Human,Unsure,Human,Very confident,AI,Unsure,AI,Unsure,Human,Very confident,Human,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,Human,Very confident,AI,Very confident,Human,Somewhat confident,AI,Unsure,AI,Unsure,Human,Very confident,AI,Unsure,Human,Somewhat confident,AI,Unsure,Human,Unsure,Human,Unsure,Human,Unsure,AI,Unsure,Human,Somewhat confident,AI,Unsure,AI,Unsure,Human,Unsure,Human,Unsure,AI,Unsure,Human,Very confident,Human,Very confident,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
28/02/2020 11:56:03,18-24 years old,Male,Studying,College degree,3,,,,,,,Human,Somewhat confident,AI,Somewhat confident,AI,Very confident,Human,Somewhat confident,AI,Very confident,Human,Somewhat confident,AI,Very confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Very confident,Human,Very confident,Human,Somewhat confident,Human,Unsure,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Unsure,AI,Somewhat confident,Human,Very confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,AI,Unsure,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
28/02/2020 12:15:50,18-24 years old,Female,Studying,College degree,2,,,,,,,AI,Somewhat confident,AI,Unsure,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,AI,Unsure,Human,Unsure,Human,Somewhat confident,Human,Somewhat confident,AI,Unsure,Human,Somewhat confident,Human,Unsure,AI,Unsure,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,AI,Unsure,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Unsure,Human,Somewhat confident,AI,Somewhat confident,AI,Unsure,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Very confident,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Somewhat confident,Human,Unsure,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
28/02/2020 12:17:52,18-24 years old,Female,Studying,No schooling completed,2,,,,,,,AI,Somewhat confident,AI,Unsure,Human,Unsure,Human,Somewhat confident,AI,Unsure,AI,Unsure,Human,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,Human,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,Human,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,Human,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,AI,Unsure,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
28/02/2020 12:28:29,25-34 years old,Male,Studying,Master’s degree,5,,,,,,,Human,Somewhat confident,AI,Somewhat confident,AI,Unsure,Human,Somewhat confident,AI,Somewhat confident,Human,Unsure,Human,Very confident,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Unsure,Human,Somewhat confident,AI,Somewhat confident,Human,Unsure,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Very confident,AI,Somewhat confident,AI,Very confident,Human,Very confident,AI,Unsure,AI,Unsure,Human,Very confident,AI,Unsure,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Unsure,Human,Somewhat confident,Human,Somewhat confident,Human,Very confident,AI,Very confident,Human,Somewhat confident,AI,Unsure,AI,Somewhat confident,Human,Somewhat confident,Human,Very confident,AI,Somewhat confident,Human,Very confident,Human,Somewhat confident,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
28/02/2020 12:55:38,25-34 years old,Male,Studying,Master’s degree,5,,,,,,,Human,Somewhat confident,AI,Somewhat confident,AI,Unsure,Human,Somewhat confident,AI,Somewhat confident,Human,Unsure,Human,Very confident,Human,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Unsure,Human,Somewhat confident,AI,Somewhat confident,Human,Unsure,AI,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,Human,Very confident,AI,Somewhat confident,AI,Very confident,Human,Very confident,AI,Unsure,AI,Unsure,Human,Very confident,AI,Unsure,Human,Somewhat confident,AI,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Somewhat confident,Human,Somewhat confident,AI,Unsure,Human,Somewhat confident,Human,Somewhat confident,Human,Very confident,AI,Very confident,Human,Somewhat confident,AI,Unsure,AI,Somewhat confident,Human,Somewhat confident,Human,Very confident,AI,Somewhat confident,Human,Very confident,Human,Somewhat confident,Human,AI,Human,Human,AI,AI,Human,Human,AI,AI,Human,AI,Human,AI,Human,AI,Human,AI,AI,AI,Human,Human,AI,AI,Human,AI,AI,Human,AI,Human,AI,AI,Human,AI,Human,AI,Human,Human,Human,AI,Human,AI,AI,Human,Human,AI,Human,Human
